State,City,Hospital,Address,Pin_Code
Maharashtra,Mumbai,Seven Hills Hospital,"Marol Maroshi Road, Next to Marol-Maroshi Bus Depot, Andheri-East, Mumbai, Maharashtra, Phone- (022) 67676767, 09892435009",400059
Maharashtra,Mumbai,INHS ASHWINI HOSPITAL,"Near RC Church, Navy Nagar, Colaba, Mumbai, Maharashtra 400005",400005
Maharashtra,Mumbai,Global Hospital,"35, Dr. E, Dr Ernest Borges Rd, Opp. Shirodkar High School, Parel, Mumbai, Maharashtra 400012",400012
Maharashtra,Mumbai,Bhatia General Hospital,"Chikalwadi, J Dadaji Road, Tardeo, Mumbai, Maharashtra,Phone- (022) 66660000/222",400007
Maharashtra,Mumbai,JAGJIVAN RAM HOSPITAL,"M M Marg, RBI Staff Colony, Mumbai Central, Mumbai, Maharashtra 400008",400008
Maharashtra,Mumbai,"Kasturba Hospital
Mumbai","Sane Guruji Marg, Arya Nagar, Chinchpokli, Mumbai, Maharashtra 400034",400034
Maharashtra,Mumbai,Shushrusha Hospital,"201, Rd Number 1, Kannamwar Nagar I, Vikhroli, Mumbai, Maharashtra 400083",400083
Maharashtra,Mumbai,H. N. Reliance Foundation Hospital,"Prarthana Samaj, Raja Rammohan Roy Rd, Charni Road East, Khetwadi, Girgaon, Mumbai, Maharashtra 400004",400004
Maharashtra,Mumbai,Hinduhridaysamrat Balasaheb Thackeray Trauma Hospital,"Western Express Hwy, Geetanjali Railway Colony, Ram Nagar, Jogeshwari East, Mumbai, Maharashtra 400060",400060
Maharashtra,Mumbai,P. D.Hinduja National Hospital and Research center,"Veer Savarkar Marg, Mahim, Mumbai, Maharashtra, Phone- (022) 24449199, 2445222",400016
Maharashtra,Mumbai,G.T. Hospital," Near Police Commissioners Office, Lokmanya Tilak Marg, Fort, G. P. O, Mumbai, Maharashtra 400001",400001
Maharashtra,Mumbai,SRV Hospital,"179, Kamal Charan Building, 180, Rd Number 2, Jawahar Nagar, Goregaon West, Mumbai, Maharashtra 400062",400062
Maharashtra,Mumbai,"Fortis Hospitals, Mulund","Mulund Goregaon Link Road, Mumbai, Maharashtra, Phone- (022) 67994121, 67994123",400078
Maharashtra,Mumbai,Saint George's Hospital,"St. Georges Hospital, Chawl no. 22, Room no. 1, P, D'mello Road CST, Mumbai, Maharashtra 400001",400001
Maharashtra,Mumbai,K. J. Somaiya Hospital,"Somaiya Ayurvihar Complex, Eastern Express Hwy, Sion East, Mumbai, Maharashtra 400022",400022
Maharashtra,Mumbai,Kokilaben Dhirubhai Ambani Hospital and Medical Research Institute,"Rao Saheb Achutrao Patwardhan Marg, Four Bunglows, Andheri (W), Mumbai, Maharashtra, Phone- (022) 30999999, Emergency- (022) 30919191",400053
Maharashtra,Mumbai,Dr.L.H.Hiranandani Hospital,"Dr. LH Hiranandani Hospital, Powai, Mumbai, Maharashtra 400076",400076
Maharashtra,Mumbai,R N Cooper Municipal General Hospital,"U 15, Bhaktivedanta Swami Rd, JVPD Scheme, Juhu, Mumbai, Maharashtra 400056",400056
Maharashtra,Mumbai,Nanavati Super Speciality Hospital,"A SV Rd, near LIC, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056",400056
Maharashtra,Mumbai,Nair hospital,"55, Dr Anandrao Nair Marg, Mumbai Central, Mumbai, Maharashtra 400008",400008
Maharashtra,Mumbai,Saifee Hospital,"15/17, Maharshi Karve Marg, Girgaon, Mumbai, Maharashtra, Phone- (022) 67570111",400004
Maharashtra,Mumbai,Holy Family Multispeciality Hospital,"St Andrews Rd, Bandra West, Mumbai, Maharashtra 400050",400050
Maharashtra,Mumbai,KEM Hospital,"Acharya Donde Marg, Parel, Mumbai, Maharashtra 400012",400012
Maharashtra,Mumbai,Kohinoor Hospital,"Kirol Road, Off, Lalbahadur Shastri Rd, Kurla West, Mumbai, Maharashtra 400070",400070
Maharashtra,Mumbai,Apex Hospitals Borivali,"Vaishali Heights, Chandavarkar Rd, near Standard Chartered Bank, Borivali West, Mumbai, Maharashtra 400092",400092
Maharashtra,Mumbai,Apex Hospitals Mulund,"Tulsi, Pipe Line Road, Veena Nagar Phase-II, Mulund West, Mumbai, Maharashtra 400080",400080
Maharashtra,Mumbai,Lilavati Hospital and Research Center,"A-791, Bandra Reclamation, Bandra(W), Mumbai, Maharashtra, Phone- (022) 26751000,26568000, Emergency: (022) 26568063/64",400050
Maharashtra,Mumbai,S L Raheja Hospital,"Raheja Rugnalaya Marg, Mahim West, Mahim, Mumbai, Maharashtra 400016",400016
